curve,delta,x,radius
auc,0.1,6,2.3263735537680423
auc,0.1,7,2.3722851655665242
auc,0.1,8,2.385636299510587
auc,0.1,9,2.385636299510587
auc,0.1,10,2.5939134299394038
auc,0.1,11,2.5939134299394038
auc,0.1,12,2.5939134299394038
auc,0.1,13,2.5939134299394038
auc,0.1,14,2.5939134299394038
auc,0.1,15,inf
auc,0.1,16,inf
auc,0.1,17,inf
auc,0.1,18,inf
auc,0.1,19,inf
auc,0.1,20,inf
auc,0.1,21,inf
auc,0.1,22,inf
auc,0.1,23,inf
auc,0.1,24,inf
auc,0.1,25,inf
auc,0.1,26,inf
auc,0.1,27,inf
auc,0.1,28,inf
auc,0.1,29,inf
auc,0.1,30,inf
auc,0.1,31,inf
auc,0.1,32,inf
auc,0.1,33,inf
auc,0.1,34,inf
auc,0.1,35,inf
auc,0.1,36,inf
auc,0.1,37,inf
auc,0.1,38,inf
auc,0.1,39,inf
auc,0.1,40,inf
auc,0.1,41,inf
auc,0.1,42,inf
auc,0.1,43,inf
auc,0.1,44,inf
auc,0.1,45,inf
auc,0.1,46,inf
auc,0.1,47,inf
auc,0.1,48,inf
auc,0.1,49,inf
auc,0.1,50,inf
auc,0.1,51,inf
auc,0.1,52,inf
auc,0.1,53,inf
auc,0.1,54,inf
auc,0.1,55,inf
auc,0.1,56,inf
auc,0.1,57,inf
auc,0.1,58,inf
auc,0.1,59,inf
auc,0.1,60,inf
aucb,0.1,1,2.1655953243567683
aucb,0.1,2,2.1907302465376826
aucb,0.1,3,2.1907302465376826
aucb,0.1,4,2.2631487646439266
aucb,0.1,5,2.2631487646439266
aucb,0.1,6,2.2631487646439266
aucb,0.1,7,2.272978232542918
aucb,0.1,8,2.272978232542918
aucb,0.1,9,2.3240788607323712
aucb,0.1,10,2.3240788607323712
aucb,0.1,11,2.3240788607323712
aucb,0.1,12,2.3263735537680423
aucb,0.1,13,2.3263735537680423
aucb,0.1,14,2.3263735537680423
aucb,0.1,15,2.3263735537680423
aucb,0.1,16,2.3523383296305624
aucb,0.1,17,2.3523383296305624
aucb,0.1,18,2.3523383296305624
aucb,0.1,19,2.3523383296305624
aucb,0.1,20,2.3722851655665242
aucb,0.1,21,2.3722851655665242
aucb,0.1,22,2.3722851655665242
aucb,0.1,23,2.3722851655665242
aucb,0.1,24,2.3722851655665242
aucb,0.1,25,2.3722851655665242
aucb,0.1,26,2.385636299510587
aucb,0.1,27,2.385636299510587
aucb,0.1,28,2.385636299510587
aucb,0.1,29,2.385636299510587
aucb,0.1,30,2.385636299510587
aucb,0.1,31,2.385636299510587
aucb,0.1,32,2.385636299510587
aucb,0.1,33,2.385636299510587
aucb,0.1,34,2.5939134299394038
aucb,0.1,35,2.5939134299394038
aucb,0.1,36,2.5939134299394038
aucb,0.1,37,2.5939134299394038
aucb,0.1,38,2.5939134299394038
aucb,0.1,39,2.5939134299394038
aucb,0.1,40,2.5939134299394038
aucb,0.1,41,2.5939134299394038
aucb,0.1,42,2.5939134299394038
aucb,0.1,43,2.5939134299394038
aucb,0.1,44,2.5939134299394038
aucb,0.1,45,2.5939134299394038
aucb,0.1,46,2.5939134299394038
aucb,0.1,47,2.5939134299394038
aucb,0.1,48,2.5939134299394038
aucb,0.1,49,2.5939134299394038
aucb,0.1,50,2.5939134299394038
aucb,0.1,51,2.5939134299394038
aucb,0.1,52,2.5939134299394038
aucb,0.1,53,2.5939134299394038
aucb,0.1,54,2.5939134299394038
aucb,0.1,55,2.5939134299394038
aucb,0.1,56,2.5939134299394038
aucb,0.1,57,2.5939134299394038
aucb,0.1,58,2.5939134299394038
aucb,0.1,59,2.5939134299394038
aucb,0.1,60,2.5939134299394038
plugin,0.1,1,1.3418214429884598
plugin,0.1,2,1.3418214429884598
plugin,0.1,3,1.3418214429884598
plugin,0.1,4,1.3418214429884598
plugin,0.1,5,1.3418214429884598
plugin,0.1,6,1.3418214429884598
plugin,0.1,7,1.3418214429884598
plugin,0.1,8,1.3418214429884598
plugin,0.1,9,1.3418214429884598
plugin,0.1,10,1.3418214429884598
plugin,0.1,11,1.3418214429884598
plugin,0.1,12,1.3418214429884598
plugin,0.1,13,1.3418214429884598
plugin,0.1,14,1.3418214429884598
plugin,0.1,15,1.3418214429884598
plugin,0.1,16,1.3418214429884598
plugin,0.1,17,1.3418214429884598
plugin,0.1,18,1.3418214429884598
plugin,0.1,19,1.3418214429884598
plugin,0.1,21,1.3418214429884598
plugin,0.1,22,1.3418214429884598
plugin,0.1,24,1.3418214429884598
plugin,0.1,25,1.3418214429884598
plugin,0.1,27,1.3418214429884598
plugin,0.1,29,1.3418214429884598
plugin,0.1,31,1.3418214429884598
plugin,0.1,33,1.3418214429884598
plugin,0.1,35,1.3418214429884598
plugin,0.1,38,1.3418214429884598
plugin,0.1,40,1.3418214429884598
plugin,0.1,43,1.3418214429884598
plugin,0.1,46,1.3418214429884598
plugin,0.1,50,1.3418214429884598
plugin,0.1,53,1.3418214429884598
plugin,0.1,57,1.3418214429884598
plugin,0.1,61,1.3418214429884598
plugin,0.1,65,1.3418214429884598
plugin,0.1,69,1.3418214429884598
plugin,0.1,74,1.3418214429884598
plugin,0.1,79,1.3418214429884598
plugin,0.1,85,1.3418214429884598
plugin,0.1,91,1.3418214429884598
plugin,0.1,97,1.3418214429884598
plugin,0.1,104,1.3418214429884598
plugin,0.1,111,1.3418214429884598
plugin,0.1,119,1.3418214429884598
plugin,0.1,127,1.3418214429884598
plugin,0.1,136,1.3418214429884598
plugin,0.1,145,1.3418214429884598
plugin,0.1,155,1.3418214429884598
plugin,0.1,166,1.3418214429884598
plugin,0.1,178,1.3418214429884598
plugin,0.1,190,1.3418214429884598
plugin,0.1,203,1.3418214429884598
plugin,0.1,209,1.3418214429884598
plugin,0.1,210,1.3418214429884598
plugin,0.1,218,1.3418214429884598
plugin,0.1,233,1.3418214429884598
plugin,0.1,249,1.3418214429884598
plugin,0.1,266,1.3418214429884598
plugin,0.1,285,1.3418214429884598
plugin,0.1,305,1.3418214429884598
plugin,0.1,326,1.3418214429884598
plugin,0.1,348,1.3418214429884598
plugin,0.1,373,1.3418214429884598
plugin,0.1,399,1.3418214429884598
