delta,n,method,horizon
0.1,723,aucb_lam0.05,46
0.1,723,aucb_lam0.01,76
0.1,723,cs,-1
0.1,832,union_anyalloc,83
0.1,832,auc,8
0.1,832,optimal,87
0.1,832,aucb_lam0.05,48
0.1,832,aucb_lam0.01,87
0.1,832,cs,-1
0.1,957,union_anyalloc,95
0.1,957,auc,9
0.1,957,optimal,100
0.1,957,aucb_lam0.05,51
0.1,957,aucb_lam0.01,100
0.1,957,cs,-1
0.1,1102,union_anyalloc,110
0.1,1102,auc,10
0.1,1102,optimal,115
0.1,1102,aucb_lam0.05,54
0.1,1102,aucb_lam0.01,115
0.1,1102,cs,-1
0.1,1268,union_anyalloc,126
0.1,1268,auc,10
0.1,1268,optimal,133
0.1,1268,aucb_lam0.05,56
0.1,1268,aucb_lam0.01,129
0.1,1268,cs,-1
0.1,1460,union_anyalloc,146
0.1,1460,auc,11
0.1,1460,optimal,153
0.1,1460,aucb_lam0.05,59
0.1,1460,aucb_lam0.01,143
0.1,1460,cs,-1
0.1,1680,union_anyalloc,168
0.1,1680,auc,12
0.1,1680,optimal,176
0.1,1680,aucb_lam0.05,62
0.1,1680,aucb_lam0.01,157
0.1,1680,cs,-1
0.1,1933,union_anyalloc,193
0.1,1933,auc,13
0.1,1933,optimal,203
0.1,1933,aucb_lam0.05,64
0.1,1933,aucb_lam0.01,171
0.1,1933,cs,-1
0.1,2225,union_anyalloc,222
0.1,2225,auc,14
0.1,2225,optimal,234
0.1,2225,aucb_lam0.05,67
0.1,2225,aucb_lam0.01,185
0.1,2225,cs,-1
0.1,2561,union_anyalloc,256
0.1,2561,auc,15
0.1,2561,optimal,269
0.1,2561,aucb_lam0.05,70
0.1,2561,aucb_lam0.01,199
0.1,2561,cs,-1
0.1,2948,union_anyalloc,294
0.1,2948,auc,16
0.1,2948,optimal,310
0.1,2948,aucb_lam0.05,72
0.1,2948,aucb_lam0.01,212
0.1,2948,cs,-1
0.1,3393,union_anyalloc,339
0.1,3393,auc,17
0.1,3393,optimal,356
0.1,3393,aucb_lam0.05,75
0.1,3393,aucb_lam0.01,226
0.1,3393,cs,-1
0.1,3905,union_anyalloc,390
0.1,3905,auc,19
0.1,3905,optimal,410
0.1,3905,aucb_lam0.05,78
0.1,3905,aucb_lam0.01,240
0.1,3905,cs,-1
0.1,4494,union_anyalloc,449
0.1,4494,auc,20
0.1,4494,optimal,472
0.1,4494,aucb_lam0.05,80
